Date,Category,Quantity,Revenue
2019-01-25,Clothing,28,1400.0
2019-01-25,Home,15,2250.0
2019-01-25,Sports,21,2520.0
2019-01-26,Electronics,12,6000.0
2019-01-26,Clothing,39,1950.0
2019-01-26,Home,39,5850.0
2019-01-26,Sports,37,4440.0
2019-01-27,Electronics,9,4500.0
2019-01-27,Clothing,46,2300.0
2019-01-27,Home,43,6450.0
2019-01-27,Sports,45,5400.0
2019-01-28,Electronics,32,16000.0
2019-01-28,Clothing,11,550.0
2019-01-28,Home,13,1950.0
2019-01-28,Sports,12,1440.0
2019-01-29,Electronics,16,8000.0
2019-01-29,Clothing,38,1900.0
2019-01-29,Home,37,5550.0
2019-01-29,Sports,27,3240.0
2019-01-30,Electronics,28,14000.0
2019-01-30,Clothing,41,2050.0
2019-01-30,Home,39,5850.0
2019-01-30,Sports,48,5760.0
2019-01-31,Electronics,44,22000.0
2019-01-31,Clothing,26,1300.0
2019-01-31,Home,31,4650.0
2019-01-31,Sports,39,4680.0
2019-02-01,Electronics,5,2500.0
2019-02-01,Clothing,39,1950.0
2019-02-01,Home,41,6150.0
2019-02-01,Sports,18,2160.0
2019-02-02,Electronics,7,3500.0
2019-02-02,Clothing,5,250.0
2019-02-02,Home,9,1350.0
2019-02-02,Sports,30,3600.0
2019-02-03,Electronics,18,9000.0
2019-02-03,Clothing,43,2150.0
2019-02-03,Home,31,4650.0
2019-02-03,Sports,13,1560.0
2019-02-04,Electronics,19,9500.0
2019-02-04,Clothing,19,950.0
2019-02-04,Home,30,4500.0
2019-02-04,Sports,46,5520.0
2019-02-05,Electronics,17,8500.0
2019-02-05,Clothing,36,1800.0
2019-02-05,Home,43,6450.0
2019-02-05,Sports,36,4320.0
2019-02-06,Electronics,8,4000.0
2019-02-06,Clothing,34,1700.0
2019-02-06,Home,41,6150.0
2019-02-06,Sports,27,3240.0
2019-02-07,Electronics,43,21500.0
2019-02-07,Clothing,49,2450.0
2019-02-07,Home,19,2850.0
2019-02-07,Sports,47,5640.0
2019-02-08,Electronics,33,16500.0
2019-02-08,Clothing,40,2000.0
2019-02-08,Home,17,2550.0
2019-02-08,Sports,36,4320.0
2019-02-09,Electronics,11,5500.0
2019-02-09,Clothing,26,1300.0
2019-02-09,Home,32,4800.0
2019-02-09,Sports,6,720.0
2019-02-10,Electronics,46,23000.0
2019-02-10,Clothing,49,2450.0
2019-02-10,Home,10,1500.0
2019-02-10,Sports,32,3840.0
2019-02-11,Electronics,32,16000.0
2019-02-11,Clothing,48,2400.0
2019-02-11,Home,48,7200.0
2019-02-11,Sports,24,2880.0
2019-02-12,Electronics,34,17000.0
2019-02-12,Clothing,15,750.0
2019-02-12,Home,32,4800.0
2019-02-12,Sports,29,3480.0
2019-02-13,Electronics,43,21500.0
2019-02-13,Clothing,37,1850.0
2019-02-13,Home,5,750.0
2019-02-13,Sports,31,3720.0
2019-02-14,Electronics,17,8500.0
2019-02-14,Clothing,45,2250.0
2019-02-14,Home,7,1050.0
2019-02-14,Sports,43,5160.0
2019-02-15,Electronics,10,5000.0
2019-02-15,Clothing,12,600.0
2019-02-15,Home,31,4650.0
2019-02-15,Sports,13,1560.0
2019-02-16,Electronics,41,20500.0
2019-02-16,Clothing,37,1850.0
2019-02-16,Home,46,6900.0
2019-02-16,Sports,48,5760.0
2019-02-17,Electronics,28,14000.0
2019-02-17,Clothing,19,950.0
2019-02-17,Home,36,5400.0
2019-02-17,Sports,36,4320.0
2019-02-18,Electronics,28,14000.0
2019-02-18,Clothing,45,2250.0
2019-02-18,Home,16,2400.0
2019-02-18,Sports,43,5160.0
2019-02-19,Electronics,6,3000.0
2019-02-19,Clothing,7,350.0
2019-02-19,Home,41,6150.0
2019-02-19,Sports,21,2520.0
2019-02-20,Electronics,6,3000.0
2019-02-20,Clothing,6,300.0
2019-02-20,Home,32,4800.0
2019-02-20,Sports,27,3240.0
2019-02-21,Electronics,41,20500.0
2019-02-21,Clothing,36,1800.0
2019-02-21,Home,37,5550.0
2019-02-21,Sports,5,600.0
2019-02-22,Electronics,23,11500.0
2019-02-22,Clothing,6,300.0
2019-02-22,Home,48,7200.0
2019-02-22,Sports,30,3600.0
2019-02-23,Electronics,36,18000.0
2019-02-23,Clothing,10,500.0
2019-02-23,Home,36,5400.0
2019-02-23,Sports,8,960.0
2019-02-24,Electronics,15,7500.0
2019-02-24,Clothing,21,1050.0
2019-02-24,Home,42,6300.0
2019-02-24,Sports,28,3360.0
2019-02-25,Electronics,9,4500.0
2019-02-25,Clothing,38,1900.0
2019-02-25,Home,10,1500.0
2019-02-25,Sports,26,3120.0
2019-02-26,Electronics,15,7500.0
2019-02-26,Clothing,20,1000.0
2019-02-26,Home,37,5550.0
2019-02-26,Sports,13,1560.0
2019-02-27,Electronics,10,5000.0
2019-02-27,Clothing,20,1000.0
2019-02-27,Home,33,4950.0
2019-02-27,Sports,7,840.0
2019-02-28,Electronics,24,12000.0
2019-02-28,Clothing,40,2000.0
2019-02-28,Home,23,3450.0
2019-02-28,Sports,30,3600.0
2019-03-01,Electronics,7,3500.0
2019-03-01,Clothing,23,1150.0
2019-03-01,Home,24,3600.0
2019-03-01,Sports,36,4320.0
2019-03-02,Electronics,11,5500.0
2019-03-02,Clothing,45,2250.0
2019-03-02,Home,37,5550.0
2019-03-02,Sports,44,5280.0
2019-03-03,Electronics,43,21500.0
2019-03-03,Clothing,22,1100.0
2019-03-03,Home,44,6600.0
2019-03-03,Sports,5,600.0
2019-03-04,Electronics,15,7500.0
2019-03-04,Clothing,32,1600.0
2019-03-04,Home,29,4350.0
2019-03-04,Sports,27,3240.0
2019-03-05,Electronics,35,17500.0
2019-03-05,Clothing,34,1700.0
2019-03-05,Home,46,6900.0
2019-03-05,Sports,39,4680.0
2019-03-06,Electronics,11,5500.0
2019-03-06,Clothing,20,1000.0
2019-03-06,Home,30,4500.0
2019-03-06,Sports,6,720.0
2019-03-07,Electronics,5,2500.0
2019-03-07,Clothing,16,800.0
2019-03-07,Home,9,1350.0
2019-03-07,Sports,41,4920.0
2019-03-08,Electronics,36,18000.0
2019-03-08,Clothing,13,650.0
2019-03-08,Home,45,6750.0
2019-03-08,Sports,39,4680.0
2019-03-09,Electronics,23,11500.0
2019-03-09,Clothing,20,1000.0
2019-03-09,Home,7,1050.0
2019-03-09,Sports,24,2880.0
2019-03-10,Electronics,28,14000.0
2019-03-10,Clothing,37,1850.0
2019-03-10,Home,28,4200.0
2019-03-10,Sports,15,1800.0
2019-03-11,Electronics,12,6000.0
2019-03-11,Clothing,40,2000.0
2019-03-11,Home,42,6300.0
2019-03-11,Sports,44,5280.0
2019-03-12,Electronics,24,12000.0
2019-03-12,Clothing,39,1950.0
2019-03-12,Home,29,4350.0
2019-03-12,Sports,39,4680.0
2019-03-13,Electronics,29,14500.0
2019-03-13,Clothing,33,1650.0
2019-03-13,Home,22,3300.0
2019-03-13,Sports,22,2640.0
2019-03-14,Electronics,6,3000.0
2019-03-14,Clothing,39,1950.0
2019-03-14,Home,20,3000.0
2019-03-14,Sports,45,5400.0
2019-03-15,Electronics,40,20000.0
2019-03-15,Clothing,37,1850.0
2019-03-15,Home,8,1200.0
2019-03-15,Sports,37,4440.0
2019-03-16,Electronics,18,9000.0
2019-03-16,Clothing,25,1250.0
2019-03-16,Home,24,3600.0
2019-03-16,Sports,12,1440.0
2019-03-17,Electronics,11,5500.0
2019-03-17,Clothing,7,350.0
2019-03-17,Home,21,3150.0
2019-03-17,Sports,37,4440.0
2019-03-18,Electronics,16,8000.0
2019-03-18,Clothing,26,1300.0
2019-03-18,Home,26,3900.0
2019-03-18,Sports,34,4080.0
2019-03-19,Electronics,42,21000.0
2019-03-19,Clothing,42,2100.0
2019-03-19,Home,49,7350.0
2019-03-19,Sports,12,1440.0
2019-03-20,Electronics,31,15500.0
2019-03-20,Clothing,31,1550.0
2019-03-20,Home,38,5700.0
2019-03-20,Sports,25,3000.0
2019-03-21,Electronics,34,17000.0
2019-03-21,Clothing,37,1850.0
2019-03-21,Home,32,4800.0
2019-03-21,Sports,37,4440.0
2019-03-22,Electronics,9,4500.0
2019-03-22,Clothing,23,1150.0
2019-03-22,Home,8,1200.0
2019-03-22,Sports,39,4680.0
2019-03-23,Electronics,21,10500.0
2019-03-23,Clothing,48,2400.0
2019-03-23,Home,32,4800.0
2019-03-23,Sports,34,4080.0
2019-03-24,Electronics,33,16500.0
2019-03-24,Clothing,10,500.0
2019-03-24,Home,39,5850.0
2019-03-24,Sports,45,5400.0
2019-03-25,Electronics,41,20500.0
2019-03-25,Clothing,28,1400.0
2019-03-25,Home,33,4950.0
2019-03-25,Sports,35,4200.0
2019-03-26,Electronics,39,19500.0
2019-03-26,Clothing,37,1850.0
2019-03-26,Home,25,3750.0
2019-03-26,Sports,36,4320.0
2019-03-27,Electronics,27,13500.0
2019-03-27,Clothing,37,1850.0
2019-03-27,Home,7,1050.0
2019-03-27,Sports,22,2640.0
2019-03-28,Electronics,29,14500.0
2019-03-28,Clothing,46,2300.0
2019-03-28,Home,35,5250.0
2019-03-28,Sports,7,840.0
2019-03-29,Electronics,44,22000.0
2019-03-29,Clothing,28,1400.0
2019-03-29,Home,36,5400.0
2019-03-29,Sports,26,3120.0
2019-03-30,Electronics,27,13500.0
2019-03-30,Clothing,6,300.0
2019-03-30,Home,31,4650.0
2019-03-30,Sports,46,5520.0
2019-03-31,Electronics,6,3000.0
2019-03-31,Clothing,30,1500.0
2019-03-31,Home,21,3150.0
2019-03-31,Sports,44,5280.0
2019-04-01,Electronics,37,18500.0
2019-04-01,Clothing,13,650.0
2019-04-01,Home,47,7050.0
2019-04-01,Sports,43,5160.0
2019-04-02,Electronics,33,16500.0
2019-04-02,Clothing,46,2300.0
2019-04-02,Home,30,4500.0
2019-04-02,Sports,39,4680.0
2019-04-03,Electronics,29,14500.0
2019-04-03,Clothing,28,1400.0
2019-04-03,Home,17,2550.0
2019-04-03,Sports,11,1320.0
2019-04-04,Electronics,40,20000.0
2019-04-04,Clothing,49,2450.0
2019-04-04,Home,24,3600.0
2019-04-04,Sports,5,600.0
2019-04-05,Electronics,12,6000.0
2019-04-05,Clothing,20,1000.0
2019-04-05,Home,18,2700.0
2019-04-05,Sports,16,1920.0
2019-04-06,Electronics,27,13500.0
2019-04-06,Clothing,19,950.0
2019-04-06,Home,32,4800.0
2019-04-06,Sports,38,4560.0
2019-04-07,Electronics,6,3000.0
2019-04-07,Clothing,36,1800.0
2019-04-07,Home,27,4050.0
2019-04-07,Sports,26,3120.0
2019-04-08,Electronics,29,14500.0
2019-04-08,Clothing,26,1300.0
2019-04-08,Home,26,3900.0
2019-04-08,Sports,46,5520.0
2019-04-09,Electronics,10,5000.0
2019-04-09,Clothing,19,950.0
2019-04-09,Home,47,7050.0
2019-04-09,Sports,41,4920.0
2019-04-10,Electronics,37,18500.0
2019-04-10,Clothing,12,600.0
2019-04-10,Home,48,7200.0
2019-04-10,Sports,48,5760.0
2019-04-11,Electronics,9,4500.0
2019-04-11,Clothing,43,2150.0
2019-04-11,Home,8,1200.0
2019-04-11,Sports,10,1200.0
2019-04-12,Electronics,49,24500.0
2019-04-12,Clothing,36,1800.0
2019-04-12,Home,34,5100.0
2019-04-12,Sports,39,4680.0
2019-04-13,Electronics,44,22000.0
2019-04-13,Clothing,20,1000.0
2019-04-13,Home,17,2550.0
2019-04-13,Sports,46,5520.0
2019-04-14,Electronics,34,17000.0
2019-04-14,Clothing,23,1150.0
2019-04-14,Home,21,3150.0
2019-04-14,Sports,23,2760.0
2019-04-15,Electronics,32,16000.0
2019-04-15,Clothing,30,1500.0
2019-04-15,Home,41,6150.0
2019-04-15,Sports,30,3600.0
2019-04-16,Electronics,27,13500.0
2019-04-16,Clothing,13,650.0
2019-04-16,Home,16,2400.0
2019-04-16,Sports,5,600.0
2019-04-17,Electronics,5,2500.0
2019-04-17,Clothing,38,1900.0
2019-04-17,Home,36,5400.0
2019-04-17,Sports,29,3480.0
2019-04-18,Electronics,44,22000.0
2019-04-18,Clothing,49,2450.0
2019-04-18,Home,5,750.0
2019-04-18,Sports,20,2400.0
2019-04-19,Electronics,43,21500.0
2019-04-19,Clothing,9,450.0
2019-04-19,Home,26,3900.0
2019-04-19,Sports,33,3960.0
2019-04-20,Electronics,7,3500.0
2019-04-20,Clothing,16,800.0
2019-04-20,Home,30,4500.0
2019-04-20,Sports,20,2400.0
2019-04-21,Electronics,41,20500.0
2019-04-21,Clothing,26,1300.0
2019-04-21,Home,33,4950.0
2019-04-21,Sports,18,2160.0
2019-04-22,Electronics,32,16000.0
2019-04-22,Clothing,9,450.0
2019-04-22,Home,34,5100.0
2019-04-22,Sports,9,1080.0
2019-04-23,Electronics,16,8000.0
2019-04-23,Clothing,20,1000.0
2019-04-23,Home,30,4500.0
2019-04-23,Sports,30,3600.0
2019-04-24,Electronics,25,12500.0
2019-04-24,Clothing,43,2150.0
2019-04-24,Home,40,6000.0
2019-04-24,Sports,37,4440.0
2019-04-25,Electronics,34,17000.0
2019-04-25,Clothing,41,2050.0
2019-04-25,Home,27,4050.0
2019-04-25,Sports,14,1680.0
2019-04-26,Electronics,9,4500.0
2019-04-26,Clothing,40,2000.0
2019-04-26,Home,38,5700.0
2019-04-26,Sports,35,4200.0
2019-04-27,Electronics,14,7000.0
2019-04-27,Clothing,23,1150.0
2019-04-27,Home,36,5400.0
2019-04-27,Sports,5,600.0
2019-04-28,Electronics,9,4500.0
2019-04-28,Clothing,49,2450.0
2019-04-28,Home,8,1200.0
2019-04-28,Sports,20,2400.0
2019-04-29,Electronics,28,14000.0
2019-04-29,Clothing,20,1000.0
2019-04-29,Home,6,900.0
2019-04-29,Sports,32,3840.0
2019-04-30,Electronics,36,18000.0
2019-04-30,Clothing,31,1550.0
2019-04-30,Home,24,3600.0
2019-04-30,Sports,28,3360.0
2019-05-01,Electronics,16,8000.0
2019-05-01,Clothing,39,1950.0
2019-05-01,Home,37,5550.0
2019-05-01,Sports,37,4440.0
2019-05-02,Electronics,47,23500.0
2019-05-02,Clothing,41,2050.0
2019-05-02,Home,16,2400.0
2019-05-02,Sports,7,840.0
2019-05-03,Electronics,5,2500.0
2019-05-03,Clothing,37,1850.0
2019-05-03,Home,44,6600.0
2019-05-03,Sports,14,1680.0
2019-05-04,Electronics,47,23500.0
2019-05-04,Clothing,48,2400.0
2019-05-04,Home,33,4950.0
2019-05-04,Sports,17,2040.0
2019-05-05,Electronics,16,8000.0
2019-05-05,Clothing,35,1750.0
2019-05-05,Home,6,900.0
2019-05-05,Sports,39,4680.0
2019-05-06,Electronics,27,13500.0
2019-05-06,Clothing,21,1050.0
2019-05-06,Home,30,4500.0
2019-05-06,Sports,12,1440.0
2019-05-07,Electronics,33,16500.0
2019-05-07,Clothing,30,1500.0
2019-05-07,Home,14,2100.0
2019-05-07,Sports,30,3600.0
2019-05-08,Electronics,38,19000.0
2019-05-08,Clothing,45,2250.0
2019-05-08,Home,11,1650.0
2019-05-08,Sports,8,960.0
2019-05-09,Electronics,49,24500.0
2019-05-09,Clothing,15,750.0
2019-05-09,Home,33,4950.0
2019-05-09,Sports,40,4800.0
2019-05-10,Electronics,29,14500.0
2019-05-10,Clothing,25,1250.0
2019-05-10,Home,40,6000.0
2019-05-10,Sports,14,1680.0
2019-05-11,Electronics,41,20500.0
2019-05-11,Clothing,13,650.0
2019-05-11,Home,28,4200.0
2019-05-11,Sports,39,4680.0
2019-05-12,Electronics,39,19500.0
2019-05-12,Clothing,40,2000.0
2019-05-12,Home,22,3300.0
2019-05-12,Sports,43,5160.0
2019-05-13,Electronics,36,18000.0
2019-05-13,Clothing,28,1400.0
2019-05-13,Home,27,4050.0
2019-05-13,Sports,36,4320.0
2019-05-14,Electronics,41,20500.0
2019-05-14,Clothing,16,800.0
2019-05-14,Home,17,2550.0
2019-05-14,Sports,27,3240.0
2019-05-15,Electronics,29,14500.0
2019-05-15,Clothing,39,1950.0
2019-05-15,Home,45,6750.0
2019-05-15,Sports,34,4080.0
2019-05-16,Electronics,21,10500.0
2019-05-16,Clothing,24,1200.0
2019-05-16,Home,29,4350.0
2019-05-16,Sports,26,3120.0
2019-05-17,Electronics,17,8500.0
2019-05-17,Clothing,23,1150.0
2019-05-17,Home,40,6000.0
2019-05-17,Sports,16,1920.0
2019-05-18,Electronics,45,22500.0
2019-05-18,Clothing,23,1150.0
2019-05-18,Home,16,2400.0
2019-05-18,Sports,13,1560.0
2019-05-19,Electronics,11,5500.0
2019-05-19,Clothing,32,1600.0
2019-05-19,Home,18,2700.0
2019-05-19,Sports,35,4200.0
2019-05-20,Electronics,23,11500.0
2019-05-20,Clothing,20,1000.0
2019-05-20,Home,9,1350.0
2019-05-20,Sports,39,4680.0
2019-05-21,Electronics,16,8000.0
2019-05-21,Clothing,29,1450.0
2019-05-21,Home,25,3750.0
2019-05-21,Sports,40,4800.0
2019-05-22,Electronics,27,13500.0
2019-05-22,Clothing,20,1000.0
2019-05-22,Home,43,6450.0
2019-05-22,Sports,49,5880.0
2019-05-23,Electronics,46,23000.0
2019-05-23,Clothing,43,2150.0
2019-05-23,Home,18,2700.0
2019-05-23,Sports,35,4200.0
2019-05-24,Electronics,9,4500.0
2019-05-24,Clothing,39,1950.0
2019-05-24,Home,27,4050.0
2019-05-24,Sports,33,3960.0
2019-05-25,Electronics,47,23500.0
2019-05-25,Clothing,15,750.0
2019-05-25,Home,22,3300.0
2019-05-25,Sports,16,1920.0
2019-05-26,Electronics,13,6500.0
2019-05-26,Clothing,14,700.0
2019-05-26,Home,48,7200.0
2019-05-26,Sports,21,2520.0
2019-05-27,Electronics,42,21000.0
2019-05-27,Clothing,11,550.0
2019-05-27,Home,17,2550.0
2019-05-27,Sports,44,5280.0
2019-05-28,Electronics,46,23000.0
2019-05-28,Clothing,13,650.0
2019-05-28,Home,31,4650.0
2019-05-28,Sports,6,720.0
2019-05-29,Electronics,9,4500.0
2019-05-29,Clothing,33,1650.0
2019-05-29,Home,41,6150.0
2019-05-29,Sports,42,5040.0
2019-05-30,Electronics,23,11500.0
2019-05-30,Clothing,12,600.0
2019-05-30,Home,49,7350.0
2019-05-30,Sports,5,600.0
2019-05-31,Electronics,26,13000.0
2019-05-31,Clothing,21,1050.0
2019-05-31,Home,11,1650.0
2019-05-31,Sports,29,3480.0
2019-06-01,Electronics,49,24500.0
2019-06-01,Clothing,8,400.0
2019-06-01,Home,40,6000.0
2019-06-01,Sports,10,1200.0
2019-06-02,Electronics,35,17500.0
2019-06-02,Clothing,23,1150.0
2019-06-02,Home,48,7200.0
2019-06-02,Sports,43,5160.0
2019-06-03,Electronics,31,15500.0
2019-06-03,Clothing,14,700.0
2019-06-03,Home,30,4500.0
2019-06-03,Sports,23,2760.0
2019-06-04,Electronics,43,21500.0
2019-06-04,Clothing,7,350.0
2019-06-04,Home,49,7350.0
2019-06-04,Sports,17,2040.0
2019-06-05,Electronics,32,16000.0
2019-06-05,Clothing,24,1200.0
2019-06-05,Home,32,4800.0
2019-06-05,Sports,12,1440.0
2019-06-06,Electronics,45,22500.0
2019-06-06,Clothing,43,2150.0
2019-06-06,Home,5,750.0
2019-06-06,Sports,7,840.0
2019-06-07,Electronics,17,8500.0
2019-06-07,Clothing,32,1600.0
2019-06-07,Home,29,4350.0
2019-06-07,Sports,37,4440.0
2019-06-08,Electronics,42,21000.0
2019-06-08,Clothing,10,500.0
2019-06-08,Home,48,7200.0
2019-06-08,Sports,49,5880.0
2019-06-09,Electronics,36,18000.0
2019-06-09,Clothing,49,2450.0
2019-06-09,Home,25,3750.0
2019-06-09,Sports,20,2400.0
2019-06-10,Electronics,25,12500.0
2019-06-10,Clothing,15,750.0
2019-06-10,Home,41,6150.0
2019-06-10,Sports,40,4800.0
2019-06-11,Electronics,39,19500.0
2019-06-11,Clothing,23,1150.0
2019-06-11,Home,24,3600.0
2019-06-11,Sports,22,2640.0
2019-06-12,Electronics,45,22500.0
2019-06-12,Clothing,18,900.0
2019-06-12,Home,19,2850.0
2019-06-12,Sports,35,4200.0
2019-06-13,Electronics,5,2500.0
2019-06-13,Clothing,7,350.0
2019-06-13,Home,20,3000.0
2019-06-13,Sports,27,3240.0
2019-06-14,Electronics,15,7500.0
2019-06-14,Clothing,16,800.0
2019-06-14,Home,14,2100.0
2019-06-14,Sports,36,4320.0
2019-06-15,Electronics,20,10000.0
2019-06-15,Clothing,12,600.0
2019-06-15,Home,42,6300.0
2019-06-15,Sports,16,1920.0
2019-06-16,Electronics,28,14000.0
2019-06-16,Clothing,32,1600.0
2019-06-16,Home,12,1800.0
2019-06-16,Sports,32,3840.0
2019-06-17,Electronics,40,20000.0
2019-06-17,Clothing,30,1500.0
2019-06-17,Home,12,1800.0
2019-06-17,Sports,32,3840.0
2019-06-18,Electronics,32,16000.0
2019-06-18,Clothing,41,2050.0
2019-06-18,Home,45,6750.0
2019-06-18,Sports,40,4800.0
2019-06-19,Electronics,31,15500.0
2019-06-19,Clothing,21,1050.0
2019-06-19,Home,13,1950.0
2019-06-19,Sports,37,4440.0
2019-06-20,Electronics,24,12000.0
2019-06-20,Clothing,17,850.0
2019-06-20,Home,32,4800.0
2019-06-20,Sports,33,3960.0
2019-06-21,Electronics,17,8500.0
2019-06-21,Clothing,39,1950.0
2019-06-21,Home,10,1500.0
2019-06-21,Sports,22,2640.0
2019-06-22,Electronics,9,4500.0
2019-06-22,Clothing,29,1450.0
2019-06-22,Home,6,900.0
2019-06-22,Sports,14,1680.0
2019-06-23,Electronics,34,17000.0
2019-06-23,Clothing,49,2450.0
2019-06-23,Home,9,1350.0
2019-06-23,Sports,37,4440.0
2019-06-24,Electronics,5,2500.0
2019-06-24,Clothing,22,1100.0
2019-06-24,Home,36,5400.0
2019-06-24,Sports,15,1800.0
2019-06-25,Electronics,25,12500.0
2019-06-25,Clothing,30,1500.0
2019-06-25,Home,29,4350.0
2019-06-25,Sports,26,3120.0
2019-06-26,Electronics,31,15500.0
2019-06-26,Clothing,17,850.0
2019-06-26,Home,37,5550.0
2019-06-26,Sports,38,4560.0
2019-06-27,Electronics,45,22500.0
2019-06-27,Clothing,39,1950.0
2019-06-27,Home,5,750.0
2019-06-27,Sports,25,3000.0
2019-06-28,Electronics,10,5000.0
2019-06-28,Clothing,32,1600.0
2019-06-28,Home,21,3150.0
2019-06-28,Sports,9,1080.0
2019-06-29,Electronics,35,17500.0
2019-06-29,Clothing,9,450.0
2019-06-29,Home,42,6300.0
2019-06-29,Sports,7,840.0
2019-06-30,Electronics,27,13500.0
2019-06-30,Clothing,41,2050.0
2019-06-30,Home,41,6150.0
2019-06-30,Sports,14,1680.0
2019-07-01,Electronics,14,7000.0
2019-07-01,Clothing,23,1150.0
2019-07-01,Home,21,3150.0
2019-07-01,Sports,25,3000.0
2019-07-02,Electronics,18,9000.0
2019-07-02,Clothing,13,650.0
2019-07-02,Home,5,750.0
2019-07-02,Sports,49,5880.0
2019-07-03,Electronics,17,8500.0
2019-07-03,Clothing,8,400.0
2019-07-03,Home,5,750.0
2019-07-03,Sports,44,5280.0
2019-07-04,Electronics,36,18000.0
2019-07-04,Clothing,38,1900.0
2019-07-04,Home,32,4800.0
2019-07-04,Sports,35,4200.0
2019-07-05,Electronics,12,6000.0
2019-07-05,Clothing,43,2150.0
2019-07-05,Home,30,4500.0
2019-07-05,Sports,38,4560.0
2019-07-06,Electronics,7,3500.0
2019-07-06,Clothing,16,800.0
2019-07-06,Home,5,750.0
2019-07-06,Sports,48,5760.0
2019-07-07,Electronics,9,4500.0
2019-07-07,Clothing,34,1700.0
2019-07-07,Home,34,5100.0
2019-07-07,Sports,21,2520.0
2019-07-08,Electronics,27,13500.0
2019-07-08,Clothing,19,950.0
2019-07-08,Home,41,6150.0
2019-07-08,Sports,25,3000.0
2019-07-09,Electronics,18,9000.0
2019-07-09,Clothing,6,300.0
2019-07-09,Home,15,2250.0
2019-07-09,Sports,43,5160.0
2019-07-10,Electronics,42,21000.0
2019-07-10,Clothing,38,1900.0
2019-07-10,Home,42,6300.0
2019-07-10,Sports,38,4560.0
2019-07-11,Electronics,22,11000.0
2019-07-11,Clothing,34,1700.0
2019-07-11,Home,19,2850.0
2019-07-11,Sports,31,3720.0
2019-07-12,Electronics,38,19000.0
2019-07-12,Clothing,42,2100.0
